id_raw,compte_bancaire,pays,annee,type_de_localisation,acces_au_telephone,taille_du_menage,age,sexe,relation_avec_le_chef_de_famille,etat_civil,niveau_education,type_de_job,Group Age
1,Yes,Kenya,2018,Rural,Yes,3,24,Female,Spouse,Marié(e),Secondary education,Self employed,20-30
2,No,Kenya,2018,Rural,No,5,70,Female,Head of Household,Veuf/Veuve,No formal education,Government Dependent,60-70
3,Yes,Kenya,2018,Urban,Yes,5,26,Male,Other relative,Célibataire,Vocational/Specialised training,Self employed,20-30
4,No,Kenya,2018,Rural,Yes,5,34,Female,Head of Household,Marié(e),Primary education,Formally employed Private,30-40
5,No,Kenya,2018,Urban,No,8,26,Male,Child,Célibataire,Primary education,Informally employed,20-30
6,No,Kenya,2018,Rural,No,7,26,Female,Spouse,Marié(e),Primary education,Informally employed,20-30
7,No,Kenya,2018,Rural,Yes,7,32,Female,Spouse,Marié(e),Primary education,Self employed,30-40
8,No,Kenya,2018,Rural,Yes,1,42,Female,Head of Household,Marié(e),Tertiary education,Formally employed Government,40-50
9,Yes,Kenya,2018,Rural,Yes,3,54,Male,Head of Household,Marié(e),Secondary education,Farming and Fishing,50-60
10,No,Kenya,2018,Urban,Yes,3,76,Female,Head of Household,Divorcé(e),No formal education,Remittance Dependent,70-80
11,No,Kenya,2018,Rural,Yes,5,40,Female,Head of Household,Marié(e),Secondary education,Farming and Fishing,30-40
12,Yes,Kenya,2018,Rural,Yes,3,69,Male,Head of Household,Marié(e),Secondary education,Other Income,60-70
13,No,Kenya,2018,Rural,No,6,64,Female,Head of Household,Veuf/Veuve,No formal education,Farming and Fishing,60-70
14,No,Kenya,2018,Rural,No,8,31,Female,Spouse,Marié(e),Primary education,Self employed,30-40
15,No,Kenya,2018,Urban,Yes,4,26,Male,Head of Household,Marié(e),Primary education,Informally employed,20-30
16,No,Kenya,2018,Rural,Yes,7,38,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
17,No,Kenya,2018,Urban,Yes,1,47,Female,Head of Household,Marié(e),Secondary education,Self employed,40-50
18,Yes,Kenya,2018,Rural,Yes,6,27,Female,Head of Household,Marié(e),Secondary education,Self employed,20-30
19,No,Kenya,2018,Urban,Yes,1,48,Female,Head of Household,Célibataire,Vocational/Specialised training,Formally employed Private,40-50
20,No,Kenya,2018,Rural,No,4,25,Female,Spouse,Marié(e),Primary education,Farming and Fishing,20-30
21,No,Kenya,2018,Rural,Yes,4,26,Male,Head of Household,Marié(e),Primary education,Farming and Fishing,20-30
22,Yes,Kenya,2018,Urban,Yes,1,32,Male,Head of Household,Célibataire,Vocational/Specialised training,Self employed,30-40
23,No,Kenya,2018,Urban,Yes,4,34,Female,Spouse,Marié(e),Secondary education,Self employed,30-40
24,No,Kenya,2018,Rural,Yes,3,21,Female,Spouse,Marié(e),Secondary education,Informally employed,20-30
25,No,Kenya,2018,Urban,No,7,18,Male,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
26,No,Kenya,2018,Rural,Yes,5,22,Female,Child,Célibataire,Secondary education,Remittance Dependent,20-30
27,No,Kenya,2018,Rural,No,8,26,Male,Child,Marié(e),Primary education,Self employed,20-30
28,No,Kenya,2018,Urban,Yes,1,31,Female,Head of Household,Célibataire,Primary education,Informally employed,30-40
29,No,Kenya,2018,Rural,Yes,4,26,Male,Head of Household,Marié(e),Primary education,Formally employed Private,20-30
30,No,Kenya,2018,Rural,No,7,58,Female,Head of Household,Veuf/Veuve,No formal education,Remittance Dependent,50-60
31,No,Kenya,2018,Urban,Yes,5,55,Male,Head of Household,Marié(e),Secondary education,Informally employed,50-60
32,No,Kenya,2018,Urban,Yes,5,38,Male,Head of Household,Marié(e),Secondary education,Self employed,30-40
33,Yes,Kenya,2018,Urban,Yes,4,62,Female,Spouse,Marié(e),Primary education,Formally employed Government,60-70
34,No,Kenya,2018,Rural,Yes,3,29,Female,Head of Household,Marié(e),Primary education,Remittance Dependent,20-30
35,No,Kenya,2018,Rural,Yes,10,42,Female,Spouse,Marié(e),Primary education,Farming and Fishing,40-50
36,No,Kenya,2018,Rural,Yes,5,48,Female,Head of Household,Veuf/Veuve,Primary education,Informally employed,40-50
37,No,Kenya,2018,Rural,Yes,4,35,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
38,No,Kenya,2018,Rural,Yes,5,45,Male,Head of Household,Marié(e),Primary education,Informally employed,40-50
39,No,Kenya,2018,Rural,Yes,8,45,Male,Head of Household,Marié(e),Primary education,Farming and Fishing,40-50
40,No,Kenya,2018,Rural,No,3,70,Male,Head of Household,Marié(e),No formal education,Farming and Fishing,60-70
41,No,Kenya,2018,Rural,Yes,6,67,Male,Head of Household,Divorcé(e),Primary education,Farming and Fishing,60-70
42,No,Kenya,2018,Urban,Yes,4,19,Female,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
43,Yes,Kenya,2018,Rural,Yes,3,80,Male,Head of Household,Veuf/Veuve,Primary education,Remittance Dependent,70-80
44,No,Kenya,2018,Rural,Yes,2,66,Male,Head of Household,Marié(e),Secondary education,Farming and Fishing,60-70
45,No,Kenya,2018,Urban,No,1,31,Male,Head of Household,Célibataire,Primary education,Formally employed Private,30-40
46,No,Kenya,2018,Rural,Yes,1,50,Female,Head of Household,Célibataire,Primary education,Self employed,40-50
47,No,Kenya,2018,Rural,No,3,29,Female,Head of Household,Célibataire,Primary education,Informally employed,20-30
48,No,Kenya,2018,Rural,Yes,4,33,Male,Head of Household,Marié(e),Vocational/Specialised training,Farming and Fishing,30-40
49,No,Kenya,2018,Urban,Yes,4,28,Female,Child,Marié(e),Vocational/Specialised training,Self employed,20-30
50,No,Kenya,2018,Urban,Yes,3,28,Male,Child,Célibataire,Secondary education,Farming and Fishing,20-30
51,No,Kenya,2018,Urban,Yes,3,26,Female,Head of Household,Divorcé(e),Secondary education,Informally employed,20-30
52,No,Kenya,2018,Urban,Yes,2,51,Female,Head of Household,Célibataire,Secondary education,Self employed,50-60
53,No,Kenya,2018,Urban,No,5,16,Female,Other relative,Célibataire,Primary education,Remittance Dependent,10-20
54,No,Kenya,2018,Rural,Yes,2,17,Male,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
55,Yes,Kenya,2018,Urban,Yes,1,22,Female,Head of Household,Célibataire,Secondary education,Self employed,20-30
56,No,Kenya,2018,Rural,Yes,3,66,Female,Head of Household,Veuf/Veuve,Primary education,Farming and Fishing,60-70
57,Yes,Kenya,2018,Rural,Yes,6,50,Male,Head of Household,Marié(e),Vocational/Specialised training,Formally employed Government,40-50
58,No,Kenya,2018,Urban,Yes,4,33,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
